Business Niche/Category,Business Name,Phone Number,Secondary Phone,Address,City,State,Zip Code,Operating Hours,Review Count,Star Rating,Google Business Link,Website (if available),Facebook Profile,Instagram Profile,Data Source,Date Added,Lead Score,Custom Sales Pitch Notes,Additional Notes,Call Status,Follow-up Date
auto detailing,Bros Automotive Detailing,NOT FOUND,,1406 W Pico Blvd,Los Angeles,CA,90015,,9,5.0,https://www.google.com/maps/place/Bros+Automotive+Detailing/data=!4m7!3m6!1s0x80c2c7dcdded4015:0xde86bf270a0afeff!8m2!3d34.0432196!4d-118.2744632!16s%2Fg%2F11ssqhgtwx!19sChIJFUDt3dzHwoAR__4KCie_ht4?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-02-26,18,"Hi Bros Automotive Detailing, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 9 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",Phone Number Needed - Manual Research Required,,
auto detailing,Auto Detail Masters-Auto detail supplies-the mix stop,(323) 675-6702,,1406 Santee St,Los Angeles,CA,90015,"Wednesday, 8 AM to 5 PM, Copy open hours",19,4.7,https://www.google.com/maps/place/Auto+Detail+Masters-Auto+detail+supplies-the+mix+stop/data=!4m7!3m6!1s0x80c2c7bf39763c2b:0xe14d4454a11a5f69!8m2!3d34.033741!4d-118.258979!16s%2Fg%2F11rg_4_sl3!19sChIJKzx2Ob_HwoARaV8aoVRETeE?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-02-26,17,"Hi Auto Detail Masters-Auto detail supplies-the mix stop, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 19 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,The Look Detail: At Home Auto Detailing Service,(323) 333-0692,,1943 Rodney Dr,Los Angeles,CA,90027,"Wednesday, 6 AM to 6 PM, Copy open hours",25,5.0,https://www.google.com/maps/place/The+Look+Detail:+At+Home+Auto+Detailing+Service/data=!4m7!3m6!1s0x80c2c160690d6e73:0x21162072e49cbf55!8m2!3d34.1066266!4d-118.2892344!16s%2Fg%2F11s5fmlhbz!19sChIJc24NaWDBwoARVb-c5HIgFiE?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-02-26,17,"Hi The Look Detail: At Home Auto Detailing Service, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 25 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,Jerry's Hand Wash & Auto Detailing,(818) 731-3672,,1055 W 7th St,Los Angeles,CA,90017,"Wednesday, 8 AM to 5 PM, Copy open hours",18,4.7,https://www.google.com/maps/place/Jerry%27s+Hand+Wash+%26+Auto+Detailing/data=!4m7!3m6!1s0x80c2c702c5c06759:0xdf7929f54d7112c9!8m2!3d34.0510941!4d-118.2637745!16s%2Fg%2F11kpd0_3h2!19sChIJWWfAxQLHwoARyRJxTfUped8?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-02-26,17,"Hi Jerry's Hand Wash & Auto Detailing, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 18 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,LA Auto Detailers Paint correction specialist,(562) 242-9744,,,Los Angeles,CA,,"Wednesday, 7 AM to 5 PM, Copy open hours",15,4.7,https://www.google.com/maps/place/LA+Auto+Detailers+Paint+correction+specialist/data=!4m7!3m6!1s0x80c2cd8f02d5ba5d:0x98d8822d8d6d06c4!8m2!3d34.0139495!4d-118.365673!16s%2Fg%2F11jnn5wrh4!19sChIJXbrVAo_NwoARxAZtjS2C2Jg?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-02-26,15,"Hi LA Auto Detailers Paint correction specialist, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 15 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,Pure Intensions mobile car wash & detail,(818) 335-0615,,550 N Figueroa St,Los Angeles,CA,90012,"Wednesday, Open 24 hours, Copy open hours",34,4.7,https://www.google.com/maps/place/Pure+Intensions+mobile+car+wash+%26+detail/data=!4m7!3m6!1s0x80c29516eb933a1d:0x71d5595cad3e22d8!8m2!3d34.0616716!4d-118.2455813!16s%2Fg%2F11rhwq57l3!19sChIJHTqT6xaVwoAR2CI-rVxZ1XE?authuser=0&hl=en&rclk=1,,,,Google Maps,2026-02-26,15,"Hi Pure Intensions mobile car wash & detail, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 34 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,DJ Auto Detail,(213) 273-3333,,1700 S Bonnie Brae St,Los Angeles,CA,90006,"Wednesday, 8 AM to 7 PM, Copy open hours",21,4.6,https://www.google.com/maps/place/DJ+Auto+Detail/data=!4m7!3m6!1s0x80c2c7d1779ddd07:0xf8b9e52cf8042dcc!8m2!3d34.0418576!4d-118.2822405!16s%2Fg%2F11gq_txjbw!19sChIJB92dd9HHwoARzC0E-Czlufg?authuser=0&hl=en&rclk=1,https://djautodetailer.com/,,,Google Maps,2026-02-26,14,"Hi DJ Auto Detail, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 21 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,Royal1 Mobile Detailing Los Angeles,(323) 310-3954,,3325 Castle Heights Ave #106,Los Angeles,CA,90034,"Wednesday, 7:30 AM to 8 PM, Copy open hours",17,4.8,https://www.google.com/maps/place/Royal1+Mobile+Detailing+Los+Angeles/data=!4m7!3m6!1s0x80c2bb0d0a09a937:0x3a56289e1531d2e1!8m2!3d34.0305759!4d-118.4005186!16s%2Fg%2F11ly28jnw2!19sChIJN6kJCg27woAR4dIxFZ4oVjo?authuser=0&hl=en&rclk=1,https://royal1mobiledetailing.com/car-detailing-los-angeles/,,,Google Maps,2026-02-26,14,"Hi Royal1 Mobile Detailing Los Angeles, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 17 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,Auto Detailers Pros,(323) 369-0607,,1131 S Victoria Ave,Los Angeles,CA,90019,"Wednesday, 8 AM to 10 PM, Copy open hours",47,4.9,https://www.google.com/maps/place/Auto+Detailers+Pros/data=!4m7!3m6!1s0x80c2b96b48314fcd:0xd8aa3480aa396533!8m2!3d34.0524864!4d-118.3259!16s%2Fg%2F11vw_g_673!19sChIJzU8xSGu5woARM2U5qoA0qtg?authuser=0&hl=en&rclk=1,http://autodetailerspros.com/,,,Google Maps,2026-02-26,12,"Hi Auto Detailers Pros, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 47 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
auto detailing,Project Detail LA,(323) 491-7997,,Los Angeles,CA 90005,CA,,"Wednesday, 8 AM to 5 PM, Copy open hours",42,4.9,https://www.google.com/maps/place/Project+Detail+LA/data=!4m7!3m6!1s0x9a5fcb695308883:0x1eab820f7d94534a!8m2!3d34.0577565!4d-118.3090212!16s%2Fg%2F11y9cl98wk!19sChIJg4gwlbb8pQkRSlOUfQ-Cqx4?authuser=0&hl=en&rclk=1,http://www.projectdetailla.com/,,,Google Maps,2026-02-26,12,"Hi Project Detail LA, I help auto detailing businesses in Los Angeles get more consistent bookings by showing up where car owners are already searching. With 42 reviews, I think we could significantly grow your client base. Worth a quick 10-minute call?",,,
