2026-02-28 13:55:28,737 | leadparser.main      | INFO     | LeadParser started | log: logs\leadparser_20260228_135528.log
2026-02-28 13:55:28,740 | exporters.sqlite_handler | INFO     | Database opened: data\leads.db
2026-02-28 13:55:28,742 | leadparser.main      | INFO     | Session #2 | 3 niche(s) | location: Dallas, TX
2026-02-28 13:55:37,434 | uc                   | INFO     | setting properties for headless
2026-02-28 13:55:37,438 | GoogleMapsScraper    | INFO     | Browser started (undetected-chromedriver)
2026-02-28 13:55:37,438 | GoogleMapsScraper    | INFO     | Searching Google Maps: 'auto detailing in Dallas, TX'
2026-02-28 13:55:42,104 | GoogleMapsScraper    | INFO     | Reached max_results_per_niche (10)
2026-02-28 13:55:42,105 | GoogleMapsScraper    | INFO     | Found 10 listings for 'auto detailing'
2026-02-28 13:55:42,105 | GoogleMapsScraper    | INFO     |   [1/10] Extracting: https://www.google.com/maps/place/Flawless+Detail/data=!4m7!3m6!1s0x864c2705eb5a…
2026-02-28 13:55:48,816 | GoogleMapsScraper    | INFO     |   [2/10] Extracting: https://www.google.com/maps/place/Flawless+Detail/data=!4m7!3m6!1s0x864c2705eb5a…
2026-02-28 13:55:55,793 | GoogleMapsScraper    | INFO     |   [3/10] Extracting: https://www.google.com/maps/place/Shine+City+Auto+Detailing/data=!4m7!3m6!1s0xf2…
2026-02-28 13:56:00,729 | GoogleMapsScraper    | INFO     |   [4/10] Extracting: https://www.google.com/maps/place/Martin+Auto+Detailing/data=!4m7!3m6!1s0x864e9f…
2026-02-28 13:56:06,124 | GoogleMapsScraper    | INFO     |   [5/10] Extracting: https://www.google.com/maps/place/SHWASH+Mobile+Car+Detailing+Dallas/data=!4m7!3…
2026-02-28 13:56:09,819 | GoogleMapsScraper    | INFO     |   [6/10] Extracting: https://www.google.com/maps/place/CarDetailing2Go/data=!4m7!3m6!1s0x864e9d655596…
2026-02-28 13:56:14,278 | GoogleMapsScraper    | INFO     |   [7/10] Extracting: https://www.google.com/maps/place/Carnation+Auto+Spa/data=!4m7!3m6!1s0x864e9f593…
2026-02-28 13:56:18,803 | GoogleMapsScraper    | INFO     |   [8/10] Extracting: https://www.google.com/maps/place/Sweet%27s+Auto+Detailing/data=!4m7!3m6!1s0x864…
2026-02-28 13:56:22,371 | GoogleMapsScraper    | INFO     |   [9/10] Extracting: https://www.google.com/maps/place/Carnation+Auto+Spa/data=!4m7!3m6!1s0x864e9f481…
2026-02-28 13:56:27,738 | GoogleMapsScraper    | INFO     |   [10/10] Extracting: https://www.google.com/maps/place/Park+Cities+Mobile+Detail/data=!4m7!3m6!1s0x86…
2026-02-28 13:56:31,797 | leadparser.main      | INFO     |   -> 10 raw leads for 'auto detailing'; running total: 10
2026-02-28 13:56:31,797 | GoogleMapsScraper    | INFO     | Searching Google Maps: 'car detailing in Dallas, TX'
2026-02-28 13:56:35,234 | GoogleMapsScraper    | INFO     | Reached max_results_per_niche (10)
2026-02-28 13:56:35,235 | GoogleMapsScraper    | INFO     | Found 10 listings for 'car detailing'
2026-02-28 13:56:35,235 | GoogleMapsScraper    | INFO     |   [1/10] Extracting: https://www.google.com/maps/place/Flawless+Detail/data=!4m7!3m6!1s0x864c2705eb5a…
2026-02-28 13:56:39,772 | GoogleMapsScraper    | INFO     |   [2/10] Extracting: https://www.google.com/maps/place/Flawless+Detail/data=!4m7!3m6!1s0x864c2705eb5a…
2026-02-28 13:56:44,553 | GoogleMapsScraper    | INFO     |   [3/10] Extracting: https://www.google.com/maps/place/SHWASH+Mobile+Car+Detailing+Dallas/data=!4m7!3…
2026-02-28 13:56:48,430 | GoogleMapsScraper    | INFO     |   [4/10] Extracting: https://www.google.com/maps/place/Shine+City+Auto+Detailing/data=!4m7!3m6!1s0xf2…
2026-02-28 13:56:53,771 | GoogleMapsScraper    | INFO     |   [5/10] Extracting: https://www.google.com/maps/place/CarDetailing2Go/data=!4m7!3m6!1s0x864e9d655596…
2026-02-28 13:56:58,351 | GoogleMapsScraper    | INFO     |   [6/10] Extracting: https://www.google.com/maps/place/Carnation+Auto+Spa/data=!4m7!3m6!1s0x864e9f593…
2026-02-28 13:57:02,581 | GoogleMapsScraper    | INFO     |   [7/10] Extracting: https://www.google.com/maps/place/Time+2+Shine+Detailing+Studio+And+Tint/data=!4…
2026-02-28 13:57:08,287 | GoogleMapsScraper    | INFO     |   [8/10] Extracting: https://www.google.com/maps/place/Park+Cities+Mobile+Detail/data=!4m7!3m6!1s0x86…
2026-02-28 13:57:13,268 | GoogleMapsScraper    | INFO     |   [9/10] Extracting: https://www.google.com/maps/place/Sweet%27s+Auto+Detailing/data=!4m7!3m6!1s0x864…
