2026-03-08 00:15:44,326 | leadparser.main      | INFO     | LeadParser started | log: logs\leadparser_20260308_001544.log
2026-03-08 00:15:44,950 | leadparser.main      | INFO     | Live log streaming active — job c57bfbcd
2026-03-08 00:15:45,855 | leadparser.supabase  | INFO     | Supabase client initialised
2026-03-08 00:15:45,855 | leadparser.supabase  | INFO     | Session 20260308_001545 | niches: ['food'] | city: Edmonton
2026-03-08 00:15:45,855 | leadparser.main      | INFO     | Session #20260308_001545 | 1 niche(s) | location: Edmonton, Alberta | target: 50 filtered leads
2026-03-08 00:15:51,405 | uc                   | INFO     | setting properties for headless
2026-03-08 00:15:51,642 | GoogleMapsScraper    | INFO     | Browser started (undetected-chromedriver)
2026-03-08 00:15:51,642 | GoogleMapsScraper    | INFO     | Searching Google Maps: 'food in Edmonton, Alberta'
2026-03-08 00:16:29,827 | GoogleMapsScraper    | INFO     |   'food': +66 listings (total unique: 66/200)
2026-03-08 00:16:30,062 | GoogleMapsScraper    | INFO     | Searching Google Maps: 'restaurants in Edmonton, Alberta'
2026-03-08 00:17:09,163 | GoogleMapsScraper    | INFO     |   'restaurants': +28 listings (total unique: 94/200)
2026-03-08 00:17:09,390 | GoogleMapsScraper    | INFO     | Searching Google Maps: 'diners in Edmonton, Alberta'
2026-03-08 00:17:47,721 | GoogleMapsScraper    | INFO     |   'diners': +41 listings (total unique: 135/200)
2026-03-08 00:17:47,951 | GoogleMapsScraper    | INFO     | Searching Google Maps: 'eateries in Edmonton, Alberta'
2026-03-08 00:17:55,818 | GoogleMapsScraper    | INFO     |   'eateries': +0 listings (total unique: 135/200)
2026-03-08 00:17:56,030 | GoogleMapsScraper    | INFO     | Searching Google Maps: 'food shops in Edmonton, Alberta'
2026-03-08 00:18:29,614 | GoogleMapsScraper    | INFO     | Collected 65 new listings — stopping scroll
2026-03-08 00:18:29,830 | GoogleMapsScraper    | INFO     |   'food shops': +65 listings (total unique: 200/200)
2026-03-08 00:18:29,830 | GoogleMapsScraper    | INFO     | Collected 200 unique listings for 'food' across 10 search terms
2026-03-08 00:18:29,830 | GoogleMapsScraper    | INFO     |   [1/200] Extracting: https://www.google.com/maps/place/Rice+Bowl+Deluxe/data=!4m7!3m6!1s0x53a021bd086…
2026-03-08 00:18:37,895 | GoogleMapsScraper    | INFO     |   [2/200] Extracting: https://www.google.com/maps/place/Let%27s+Smash+Burger+and+Shakes/data=!4m7!3m6!…
2026-03-08 00:18:44,335 | GoogleMapsScraper    | INFO     |   [3/200] Extracting: https://www.google.com/maps/place/Culinary+Unicorn+Kitchen+%26+Bar/data=!4m7!3m6…
2026-03-08 00:18:51,107 | GoogleMapsScraper    | INFO     |   [4/200] Extracting: https://www.google.com/maps/place/Fattoush/data=!4m7!3m6!1s0x53a023c97fc3650b:0x…
2026-03-08 00:18:59,630 | GoogleMapsScraper    | INFO     |   [5/200] Extracting: https://www.google.com/maps/place/Bianco/data=!4m7!3m6!1s0x53a0237d055f5349:0xff…
2026-03-08 00:19:08,207 | GoogleMapsScraper    | INFO     |   [6/200] Extracting: https://www.google.com/maps/place/The+Backyard+Smokehouse/data=!4m7!3m6!1s0x53a0…
2026-03-08 00:19:14,968 | GoogleMapsScraper    | INFO     |   [7/200] Extracting: https://www.google.com/maps/place/JINYA+Ramen+Bar+-+Edmonton/data=!4m7!3m6!1s0x5…
2026-03-08 00:19:21,797 | GoogleMapsScraper    | INFO     |   [8/200] Extracting: https://www.google.com/maps/place/May/data=!4m7!3m6!1s0x53a0236cab3c49df:0xc0a72…
2026-03-08 00:19:31,782 | GoogleMapsScraper    | INFO     |   [9/200] Extracting: https://www.google.com/maps/place/A%C3%B1ejo+Restaurant/data=!4m7!3m6!1s0x53a023…
2026-03-08 00:19:39,864 | GoogleMapsScraper    | INFO     |   [10/200] Extracting: https://www.google.com/maps/place/Arbour+on+Whyte/data=!4m7!3m6!1s0x53a0231d6b60…
2026-03-08 00:19:47,491 | GoogleMapsScraper    | INFO     |   [11/200] Extracting: https://www.google.com/maps/place/DaDeO/data=!4m7!3m6!1s0x53a0220535001db1:0x8d7…
2026-03-08 00:19:55,319 | GoogleMapsScraper    | INFO     |   [12/200] Extracting: https://www.google.com/maps/place/Aliments+Kitchen/data=!4m7!3m6!1s0x53a021cdc23…
2026-03-08 00:20:03,784 | GoogleMapsScraper    | INFO     |   [13/200] Extracting: https://www.google.com/maps/place/Bernadette%E2%80%99s/data=!4m7!3m6!1s0x53a0230…
2026-03-08 00:20:18,624 | GoogleMapsScraper    | INFO     |   [14/200] Extracting: https://www.google.com/maps/place/The+Grillcraft+Co./data=!4m7!3m6!1s0x53a0235f8…
2026-03-08 00:20:26,516 | GoogleMapsScraper    | INFO     |   [15/200] Extracting: https://www.google.com/maps/place/The+Grill+House+%2B+bar/data=!4m7!3m6!1s0x53a0…
2026-03-08 00:20:33,947 | GoogleMapsScraper    | INFO     |   [16/200] Extracting: https://www.google.com/maps/place/A+Food+Fair+Restaurant/data=!4m7!3m6!1s0x53a02…
2026-03-08 00:20:41,341 | GoogleMapsScraper    | INFO     |   [17/200] Extracting: https://www.google.com/maps/place/Bistro+Praha/data=!4m7!3m6!1s0x53a02246726bf74…
2026-03-08 00:20:47,113 | GoogleMapsScraper    | INFO     |   [18/200] Extracting: https://www.google.com/maps/place/Dogpatch/data=!4m7!3m6!1s0x53a023f6604bc969:0x…
2026-03-08 00:21:01,333 | GoogleMapsScraper    | INFO     |   [19/200] Extracting: https://www.google.com/maps/place/Off+Campus/data=!4m7!3m6!1s0x53a021ff2827d9af:…
2026-03-08 00:21:08,896 | GoogleMapsScraper    | INFO     |   [20/200] Extracting: https://www.google.com/maps/place/Zula+Kitchen+%7C+Wine+Bar/data=!4m7!3m6!1s0x53…
2026-03-08 00:21:17,276 | GoogleMapsScraper    | INFO     |   [21/200] Extracting: https://www.google.com/maps/place/The+Workshop+Eatery/data=!4m7!3m6!1s0x53a01c26…
2026-03-08 00:21:24,605 | GoogleMapsScraper    | INFO     |   [22/200] Extracting: https://www.google.com/maps/place/JOEY+Bell+Tower/data=!4m7!3m6!1s0x53a0224f3d64…
2026-03-08 00:21:37,364 | GoogleMapsScraper    | INFO     |   [23/200] Extracting: https://www.google.com/maps/place/District+102/data=!4m7!3m6!1s0x53a02248b6fa87d…
2026-03-08 00:21:46,910 | GoogleMapsScraper    | INFO     |   [24/200] Extracting: https://www.google.com/maps/place/Marcos+Famous/data=!4m7!3m6!1s0x53a02234137d5f…
