2026-03-08 03:05:36,162 | leadparser.main      | INFO     | LeadParser started | log: logs\leadparser_20260308_030536.log
2026-03-08 03:05:36,303 | leadparser.main      | INFO     | LeadParser started | log: logs\leadparser_20260308_030536.log
2026-03-08 03:05:36,558 | leadparser.main      | INFO     | LeadParser started | log: logs\leadparser_20260308_030536.log
2026-03-08 03:05:36,888 | leadparser.main      | INFO     | Live log streaming active — job bdaf033e
2026-03-08 03:05:36,888 | leadparser.main      | INFO     | Distributing 100 leads across 3 niche+city combinations (~33 per combination, remainder: 1)
2026-03-08 03:05:36,995 | leadparser.main      | INFO     | Live log streaming active — job 94fad857
2026-03-08 03:05:36,995 | leadparser.main      | INFO     | Distributing 100 leads across 3 niche+city combinations (~33 per combination, remainder: 1)
2026-03-08 03:05:37,284 | leadparser.main      | INFO     | Live log streaming active — job 90ed88da
2026-03-08 03:05:37,284 | leadparser.main      | INFO     | Distributing 100 leads across 3 niche+city combinations (~33 per combination, remainder: 1)
2026-03-08 03:05:38,031 | leadparser.supabase  | INFO     | Supabase client initialised
2026-03-08 03:05:38,031 | leadparser.supabase  | INFO     | Session 20260308_030538 | niches: ['food', 'automotive', 'barber shops'] | city: Edmonton
2026-03-08 03:05:38,031 | leadparser.main      | INFO     | Session #20260308_030538 | 3 niche(s) | 1 location(s) | 3 total combinations | target: 100 filtered leads
2026-03-08 03:05:38,092 | leadparser.supabase  | INFO     | Supabase client initialised
2026-03-08 03:05:38,093 | leadparser.supabase  | INFO     | Session 20260308_030538 | niches: ['food', 'automotive', 'barber shops'] | city: Calgary
2026-03-08 03:05:38,093 | leadparser.main      | INFO     | Session #20260308_030538 | 3 niche(s) | 1 location(s) | 3 total combinations | target: 100 filtered leads
2026-03-08 03:05:38,166 | leadparser.main      | INFO     | Using concurrent XHR scraper with 4 workers
2026-03-08 03:05:38,166 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 13 search terms across 4 workers for 'food' in Edmonton, Alberta
2026-03-08 03:05:38,229 | leadparser.main      | INFO     | Using concurrent XHR scraper with 4 workers
2026-03-08 03:05:38,230 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 13 search terms across 4 workers for 'food' in Calgary, Alberta
2026-03-08 03:05:38,290 | leadparser.supabase  | INFO     | Supabase client initialised
2026-03-08 03:05:38,290 | leadparser.supabase  | INFO     | Session 20260308_030538 | niches: ['food', 'automotive', 'barber shops'] | city: Vancouver
