2026-03-08 03:13:26,799 | leadparser.main      | INFO     | LeadParser started | log: logs\leadparser_20260308_031326.log
2026-03-08 03:13:27,476 | leadparser.main      | INFO     | Live log streaming active — job 01a1ad3d
2026-03-08 03:13:27,476 | leadparser.main      | INFO     | Distributing 100 leads across 3 niche+city combinations (~33 per combination, remainder: 1)
2026-03-08 03:13:28,601 | leadparser.supabase  | INFO     | Supabase client initialised
2026-03-08 03:13:28,602 | leadparser.supabase  | INFO     | Session 20260308_031328 | niches: ['food', 'automotive', 'barber shops'] | city: Edmonton
2026-03-08 03:13:29,485 | leadparser.main      | INFO     | Session #20260308_031328 | 3 niche(s) | 1 location(s) | 3 total combinations | target: 100 filtered leads
2026-03-08 03:13:29,622 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:13:29,970 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'food'
2026-03-08 03:13:30,206 | XHRGoogleMapsScraper | INFO     |   'food': +0 (total: 0/340)
2026-03-08 03:13:31,409 | XHRGoogleMapsScraper | INFO     |   'restaurants': +0 (total: 0/340)
2026-03-08 03:13:32,487 | XHRGoogleMapsScraper | INFO     |   'diners': +0 (total: 0/340)
2026-03-08 03:13:33,900 | XHRGoogleMapsScraper | INFO     |   'eateries': +0 (total: 0/340)
2026-03-08 03:13:35,425 | XHRGoogleMapsScraper | INFO     |   'food shops': +0 (total: 0/340)
2026-03-08 03:13:36,347 | XHRGoogleMapsScraper | INFO     |   'cafes': +0 (total: 0/340)
2026-03-08 03:13:37,354 | XHRGoogleMapsScraper | INFO     |   'bistros': +0 (total: 0/340)
2026-03-08 03:13:38,582 | XHRGoogleMapsScraper | INFO     |   'takeout food': +0 (total: 0/340)
2026-03-08 03:13:39,505 | XHRGoogleMapsScraper | INFO     |   'local food spots': +0 (total: 0/340)
2026-03-08 03:13:40,588 | XHRGoogleMapsScraper | INFO     |   'places to eat': +0 (total: 0/340)
2026-03-08 03:13:42,171 | XHRGoogleMapsScraper | INFO     |   'local eats': +0 (total: 0/340)
2026-03-08 03:13:43,028 | XHRGoogleMapsScraper | INFO     |   'food near me': +0 (total: 0/340)
2026-03-08 03:13:43,717 | XHRGoogleMapsScraper | INFO     |   'dining near me': +0 (total: 0/340)
2026-03-08 03:13:44,546 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:13:44,682 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Edmonton; running total: 0
2026-03-08 03:13:44,682 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:13:45,075 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'automotive'
2026-03-08 03:13:45,314 | XHRGoogleMapsScraper | INFO     |   'automotive': +0 (total: 0/330)
2026-03-08 03:13:46,185 | XHRGoogleMapsScraper | INFO     |   'auto repair shops': +0 (total: 0/330)
2026-03-08 03:13:47,369 | XHRGoogleMapsScraper | INFO     |   'auto detailing': +0 (total: 0/330)
2026-03-08 03:13:48,081 | XHRGoogleMapsScraper | INFO     |   'auto body shops': +0 (total: 0/330)
2026-03-08 03:13:49,083 | XHRGoogleMapsScraper | INFO     |   'tire shops': +0 (total: 0/330)
2026-03-08 03:13:50,628 | XHRGoogleMapsScraper | INFO     |   'car wash': +0 (total: 0/330)
2026-03-08 03:13:51,336 | XHRGoogleMapsScraper | INFO     |   'towing services': +0 (total: 0/330)
2026-03-08 03:13:52,313 | XHRGoogleMapsScraper | INFO     |   'auto glass repair': +0 (total: 0/330)
2026-03-08 03:13:53,283 | XHRGoogleMapsScraper | INFO     |   'car dealerships': +0 (total: 0/330)
2026-03-08 03:13:54,476 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:13:54,616 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Edmonton; running total: 0
2026-03-08 03:13:54,617 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:13:54,967 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'barber shops'
2026-03-08 03:13:55,217 | XHRGoogleMapsScraper | INFO     |   'barber shops': +0 (total: 0/330)
2026-03-08 03:13:56,863 | XHRGoogleMapsScraper | INFO     |   'local barber': +0 (total: 0/330)
2026-03-08 03:13:58,394 | XHRGoogleMapsScraper | INFO     |   'fade haircut': +0 (total: 0/330)
2026-03-08 03:13:59,440 | XHRGoogleMapsScraper | INFO     |   'beard trim': +0 (total: 0/330)
2026-03-08 03:14:00,234 | XHRGoogleMapsScraper | INFO     |   'traditional hot towel shave': +0 (total: 0/330)
2026-03-08 03:14:01,709 | XHRGoogleMapsScraper | INFO     |   'men's grooming': +0 (total: 0/330)
2026-03-08 03:14:03,412 | XHRGoogleMapsScraper | INFO     |   'barbers': +0 (total: 0/330)
2026-03-08 03:14:04,350 | XHRGoogleMapsScraper | INFO     |   'men's hair salons': +0 (total: 0/330)
2026-03-08 03:14:05,446 | XHRGoogleMapsScraper | INFO     |   'barbershops': +0 (total: 0/330)
2026-03-08 03:14:06,581 | XHRGoogleMapsScraper | INFO     |   'hair cut shops': +0 (total: 0/330)
2026-03-08 03:14:07,635 | XHRGoogleMapsScraper | INFO     |   'barber': +0 (total: 0/330)
2026-03-08 03:14:09,081 | XHRGoogleMapsScraper | INFO     |   'barbershop': +0 (total: 0/330)
2026-03-08 03:14:10,306 | XHRGoogleMapsScraper | INFO     |   'hair barber': +0 (total: 0/330)
2026-03-08 03:14:12,046 | XHRGoogleMapsScraper | INFO     |   'men's haircut': +0 (total: 0/330)
2026-03-08 03:14:13,509 | XHRGoogleMapsScraper | INFO     |   'hair cutting salon': +0 (total: 0/330)
2026-03-08 03:14:15,176 | XHRGoogleMapsScraper | INFO     |   'haircut near me': +0 (total: 0/330)
2026-03-08 03:14:16,309 | XHRGoogleMapsScraper | INFO     |   'haircuts for men': +0 (total: 0/330)
2026-03-08 03:14:17,948 | XHRGoogleMapsScraper | INFO     |   'men's haircutting': +0 (total: 0/330)
2026-03-08 03:14:18,785 | XHRGoogleMapsScraper | INFO     |   'low fade haircut': +0 (total: 0/330)
2026-03-08 03:14:20,239 | XHRGoogleMapsScraper | INFO     |   'taper fade': +0 (total: 0/330)
2026-03-08 03:14:21,172 | XHRGoogleMapsScraper | INFO     |   'shape up haircut': +0 (total: 0/330)
2026-03-08 03:14:22,132 | XHRGoogleMapsScraper | INFO     |   'classic barber': +0 (total: 0/330)
2026-03-08 03:14:23,605 | XHRGoogleMapsScraper | INFO     |   'old school barber': +0 (total: 0/330)
2026-03-08 03:14:25,157 | XHRGoogleMapsScraper | INFO     |   'master barber': +0 (total: 0/330)
2026-03-08 03:14:26,067 | XHRGoogleMapsScraper | INFO     |   'hair clipper shop': +0 (total: 0/330)
2026-03-08 03:14:27,466 | XHRGoogleMapsScraper | INFO     |   'grooming salon': +0 (total: 0/330)
2026-03-08 03:14:28,734 | XHRGoogleMapsScraper | INFO     |   'men's grooming lounge': +0 (total: 0/330)
2026-03-08 03:14:29,638 | XHRGoogleMapsScraper | INFO     |   'hair salon for men': +0 (total: 0/330)
2026-03-08 03:14:31,108 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:14:31,110 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Edmonton; running total: 0
2026-03-08 03:14:31,110 | leadparser.main      | INFO     |   Pass 1 result: 0/100 leads pass filters
2026-03-08 03:14:31,110 | leadparser.main      | INFO     |   Retry pass 2/3: raising raw ceiling to 660 to collect more matches
