2026-03-08 03:13:27,081 | leadparser.main      | INFO     | LeadParser started | log: logs\leadparser_20260308_031327.log
2026-03-08 03:13:27,328 | leadparser.main      | INFO     | LeadParser started | log: logs\leadparser_20260308_031327.log
2026-03-08 03:13:27,830 | leadparser.main      | INFO     | Live log streaming active — job 105dd7e0
2026-03-08 03:13:27,830 | leadparser.main      | INFO     | Distributing 100 leads across 3 niche+city combinations (~33 per combination, remainder: 1)
2026-03-08 03:13:28,112 | leadparser.main      | INFO     | Live log streaming active — job 852cbf97
2026-03-08 03:13:28,113 | leadparser.main      | INFO     | Distributing 100 leads across 3 niche+city combinations (~33 per combination, remainder: 1)
2026-03-08 03:13:28,891 | leadparser.supabase  | INFO     | Supabase client initialised
2026-03-08 03:13:28,892 | leadparser.supabase  | INFO     | Session 20260308_031328 | niches: ['food', 'automotive', 'barber shops'] | city: Vancouver
2026-03-08 03:13:28,892 | leadparser.main      | INFO     | Session #20260308_031328 | 3 niche(s) | 1 location(s) | 3 total combinations | target: 100 filtered leads
2026-03-08 03:13:29,022 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:13:29,136 | leadparser.supabase  | INFO     | Supabase client initialised
2026-03-08 03:13:29,136 | leadparser.supabase  | INFO     | Session 20260308_031329 | niches: ['food', 'automotive', 'barber shops'] | city: Calgary
2026-03-08 03:13:29,136 | leadparser.main      | INFO     | Session #20260308_031329 | 3 niche(s) | 1 location(s) | 3 total combinations | target: 100 filtered leads
2026-03-08 03:13:29,270 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:13:29,420 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'food'
2026-03-08 03:13:29,648 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'food'
2026-03-08 03:13:29,771 | XHRGoogleMapsScraper | INFO     |   'food': +0 (total: 0/340)
2026-03-08 03:13:29,878 | XHRGoogleMapsScraper | INFO     |   'food': +0 (total: 0/340)
2026-03-08 03:13:31,195 | XHRGoogleMapsScraper | INFO     |   'restaurants': +0 (total: 0/340)
2026-03-08 03:13:31,422 | XHRGoogleMapsScraper | INFO     |   'restaurants': +0 (total: 0/340)
2026-03-08 03:13:32,361 | XHRGoogleMapsScraper | INFO     |   'diners': +0 (total: 0/340)
2026-03-08 03:13:32,532 | XHRGoogleMapsScraper | INFO     |   'diners': +0 (total: 0/340)
2026-03-08 03:13:33,150 | XHRGoogleMapsScraper | INFO     |   'eateries': +0 (total: 0/340)
