2026-02-26 02:46:24,480 | leadparser.main      | INFO     | LeadParser started | log: logs\leadparser_20260226_024624.log
2026-02-26 02:46:24,627 | exporters.sqlite_handler | INFO     | Database opened: data\leads.db
2026-02-26 02:46:24,635 | leadparser.main      | INFO     | Session #1 | 3 niche(s) | location: Los Angeles, CA
2026-02-26 02:46:31,362 | uc                   | INFO     | setting properties for headless
2026-02-26 02:46:31,366 | GoogleMapsScraper    | INFO     | Browser started (undetected-chromedriver)
2026-02-26 02:46:31,366 | GoogleMapsScraper    | INFO     | Searching Google Maps: 'auto detailing in Los Angeles, CA'
2026-02-26 02:46:51,517 | GoogleMapsScraper    | INFO     | Reached max_results_per_niche (25)
2026-02-26 02:46:51,518 | GoogleMapsScraper    | INFO     | Found 25 listings for 'auto detailing'
2026-02-26 02:46:51,518 | GoogleMapsScraper    | INFO     |   [1/25] Extracting: https://www.google.com/maps/place/Auto+Labz+Car+Care+Car+Detailing+Los+Angeles/d…
2026-02-26 02:47:05,065 | GoogleMapsScraper    | INFO     |   [2/25] Extracting: https://www.google.com/maps/place/Robert%27s+Automotive+Detailing+Los+Angeles/da…
2026-02-26 02:47:16,247 | GoogleMapsScraper    | INFO     |   [3/25] Extracting: https://www.google.com/maps/place/Car+Wash+%26+Detail+Los+Chavalones/data=!4m7!3…
2026-02-26 02:47:27,686 | GoogleMapsScraper    | INFO     |   [4/25] Extracting: https://www.google.com/maps/place/Royal+Detailing+LA/data=!4m7!3m6!1s0x80c2b9c51…
2026-02-26 02:47:37,191 | GoogleMapsScraper    | INFO     |   [5/25] Extracting: https://www.google.com/maps/place/Auto+Detailers+Pros/data=!4m7!3m6!1s0x80c2b96b…
2026-02-26 02:47:45,693 | GoogleMapsScraper    | INFO     |   [6/25] Extracting: https://www.google.com/maps/place/Sam%27s+Steam+Auto+Detail/data=!4m7!3m6!1s0x80…
2026-02-26 02:47:53,930 | GoogleMapsScraper    | INFO     |   [7/25] Extracting: https://www.google.com/maps/place/JP+Mobile+Auto+Detailing/data=!4m7!3m6!1s0x80c…
